,Species,Family,Common_name,Locality,Status,Extinct
1330,albicaudus,Cricetidae,White-tailed Mountain Vole,"India, Baltistan, Braldu Valley.",Lower risk,False
1331,argentatus,Cricetidae,Silver Mountain Vole,"Tajikistan, Pamir Mountains, Murgab District, Alichur.",Lower risk,False
1332,barakshin,Cricetidae,Gobi Altai Mountain Vole,"S Mongolia, Gobi Altai, Gurvan Saihan Ridge, Dzun Saihan.",Lower risk,False
1333,lemminus,Cricetidae,Lemming Mountain Vole,"Russia, Siberia, Bering Strait, Plover Bay, Kelsey Station.",Lower risk,False
1334,macrotis,Cricetidae,Large-eared Mountain Vole,"Russia, S Siberia, S Krasnoyarsk Krai, Vostochnyy Sayan Mtns.",Lower risk,False
1335,montosa,Cricetidae,Kashmir Mountain Vole,"N India, C Kashmir, 11,000 ft (3353 m).",Vulnerable,False
1336,roylei,Cricetidae,Royles Mountain Vole,"India, Kumaon.",Lower risk,False
1337,semicanus,Cricetidae,Mongolian Mountain Vole,"Mongolia, SE Khangai Mtns, upper reaches of Ongyin Gol River ""Sain Noin Khan.""",Lower risk,False
1338,stoliczkanus,Cricetidae,Stoliczkas Mountain Vole,"NW India, Ladakh (Kashmir), Kuenlun Mtns, Nubra Valley (as restricted by neotype designated by Rossolimo and Pavlinov, 1992:172).",Lower risk,False
1339,strelzowi,Cricetidae,Strelzows Mountain Vole,"Russia, Altai Krai, Altai Mtns, near Lake Teniga.",Lower risk,False
1340,tuvinicus,Cricetidae,Tuva Mountain Vole,"Russia, Tuvinskaya (Tuva), Barun-Kemtchik District, Kyzyl Mozhalyk (= Kyzyr).",Lower risk,False
1341,albipes,Cricetidae,White-footed Vole,"USA, California, Humboldt Co., Humboldt Bay, redwood forest near Arcata.",Data Deficiency,False
1342,longicaudus,Cricetidae,Red Tree Vole,"USA, Oregon, Coos Co., Marshfield.",Lower risk,False
1343,pomo,Cricetidae,Sonoma Tree Vole,"USA, California, Sonoma Co., 0.8 km N Jenner, Jenner Ridge; 3827'N, 12306'W.",Data Deficiency,False
1344,amphibius,Cricetidae,Eurasian Water Vole,England.,Lower risk,False
1345,sapidus,Cricetidae,Southwestern Water Vole,"Spain, Burgos Prov., Santo Domingo de Silos.",Lower risk,False
1346,afghanus,Cricetidae,Afghan Vole,"Afghanistan, Badkhiz, Gulran.",Lower risk,False
1347,bucharensis,Cricetidae,Bucharian Vole,"Tajikistan, Zeravshan Range, 8 km S Pendzhikent, near village of Zivan, 2200 m.",Lower risk,False
1348,eva,Cricetidae,Evas Red-backed Vole,"China, Gansu (Kansu), SE of Tauchow, 10,000 ft (3028 m).",Lower risk,False
1349,inez,Cricetidae,Inezs Red-backed Vole,"China, Shanxi (Shansi), mtns 12 mi (19 km) NW Kolanchow, 7000 ft (2134 m).",Lower risk,False
1350,gud,Cricetidae,Gudaur Snow Vole,"Georgia, Caucasus Mtns, Gudaur, near Krestovskii Pass.",Lower risk,False
1351,nivalis,Cricetidae,European Snow Vole,"Switzerland, Berner Oberland, Faulhorn.",Lower risk,False
1352,roberti,Cricetidae,Roberts Snow Vole,"Turkey, Sumela (=Meryemana), south of Trebizond (Krytufek, 1999<i>c</i>).",Lower risk,False
1353,groenlandicus,Cricetidae,Nearctic Collared Lemming,"Greenland, Jamesons Land.",Lower risk,False
1354,hudsonius,Cricetidae,Ungava Collared Lemming,"Canada, Labrador.",Lower risk,False
1355,nelsoni,Cricetidae,Nelsons Collared Lemming,"USA, Alaska, Norton Sound, St. Michael.",Lower risk,False
1356,nunatakensis,Cricetidae,Ogilvie Mountains Collared Lemming,"Canada, Yukon Territory, Ogilvie Mtns, 20 mi (32 km) S Chapman Lake, 5500 ft (1646 m); 6435'N, 13813'W.",Data Deficiency,False
1357,richardsoni,Cricetidae,Richardsons Collared Lemming,"Canada, Manitoba, Fort Churchill.",Lower risk,False
1358,torquatus,Cricetidae,Palearctic Collared Lemming,"Russia, Siberia, mouth of Ob River.",Lower risk,False
1359,unalascensis,Cricetidae,Unalaska Collared Lemming,"USA, Alaska, Umnak Isl.",Data Deficiency,False
1360,vinogradovi,Cricetidae,Wrangel Island Collared Lemming,"Russia, SE Siberia, Wrangel Isl (Os. Vrangelya), off coast of Anadyr region.",Endangered,False
1361,bogdanovi,Cricetidae,Balkan Snow Vole,"W Serbia and Montenegro, Rijeka Prov., Montenegro, Cetinje.",Lower risk,False
1362,alaicus,Cricetidae,Alai Mole Vole,"Kyrgyzstan, Alai Valley, between Sary-Tashem and Bardabo, 3300 m.",Endangered,False
1363,fuscocapillus,Cricetidae,Southern Mole Vole,"Pakistan, Baluchistan Region, Quetta Div., Quetta.",Lower risk,False
1364,lutescens,Cricetidae,Transcaucasian Mole Vole,"Turkey, Kurdistan, Van.",Lower risk,False
1365,talpinus,Cricetidae,Northern Mole Vole,"Russia, W Bank of Volga River, between Kuibyshev (= Samara) and Kostychi.",Lower risk,False
1366,tancrei,Cricetidae,Eastern Mole Vole,"Kazakhstan, Zaysan Lake Valley, Kendyrlik (= Przevalskoie).",Lower risk,False
1367,luteus,Cricetidae,Yellow Steppe Lemming,"Kazakhstan, NW of Aral Sea.",Lower risk,False
1368,przewalskii,Cricetidae,Przewalskis Steppe Lemming,"China, Qinghai, Tsaidam region, shore of Iche-zaidemin Nor.",Lower risk,False
1369,chinensis,Cricetidae,Sichuan Red-Backed Vole,"China, W Sichuan Province, Kia-ting-fu (= Leshan; see Kaneko, 1996<i>b</i> for additional information).",Lower risk,False
1370,custos,Cricetidae,Southwest China Red-backed Vole,"China, Yunnan, A-tun-tsi (= Dequen Xian; see Kaneko, 1996<i>b</i> for additional information), 11,500-12,500 ft (3505-3810 m).",Lower risk,False
1371,melanogaster,Cricetidae,Pre Davids Red-backed Vole,"China, W Sichuan, Moupin.",Lower risk,False
1372,olitor,Cricetidae,Black-eared Red-backed Vole,"China, Yunnan, Chao-tung-fu (= Zhaotong Xian), 6700 ft [2042 m] (Kaneko, 1999<i>b</i>, provided additional information).",Lower risk,False
1373,proditor,Cricetidae,Yulongxuen Red-backed Vole,"China, Yunnan, Lichiang Range (=Yulongxuen), 13,000 ft (Kaneko, 1996<i>b</i>, provided additional information).",Lower risk,False
1374,fertilis,Cricetidae,Subalpine Kashmir Vole,"India, Kashmir, Pir Panjal Mtns, 8500 ft (2591 m).",Lower risk,False
1375,wynnei,Cricetidae,Conifer Kashmir Vole,"Pakistan, Murree, 7000 ft (2134 m) (as fixed by lectotype selection by Phillips, 1969:462).",Lower risk,False
1376,lagurus,Cricetidae,Steppe Vole,"Kazakhstan, mouth of Ural River.",Lower risk,False
1377,brandtii,Cricetidae,Brandts Vole,"NE Mongolia, near Tarei-Nor (G. M. Allen, 1940).",Lower risk,False
1378,fuscus,Cricetidae,Smokey Vole,"China, S Qinghai Prov., Yushu Autonomous Prefecture, Zhidoi Co., upper reaches of Zi Qu (also as Zhi Qu or Tongtian He) River, a tributary of the Yangtze; 3340'N, 9615'E (as restricted by lectotype designation by Hoffmann, 1996<i>a</i>).",Lower risk,False
1379,mandarinus,Cricetidae,Mandarin Vole,"China, Shanxi (Shansi), probably near Saratsi.",Lower risk,False
1380,curtatus,Cricetidae,Sagebrush Vole,"USA, Nevada, Esmeralda Co., Mt Magruder, Pigeon Spring.",Lower risk,False
1381,amurensis,Cricetidae,Amur Brown Lemming,"Russia, Siberia, Pikan, on Zeya River, a tributary of the Amur River.",Lower risk,False
1382,lemmus,Cricetidae,Norway Lemming,"Sweden, Lappmark.",Lower risk,False
1383,sibiricus,Cricetidae,Siberian Brown Lemming,"Russia, Yamalo-Nenetskaya Nats. Okr., between Polar Ural Mtns and lower course of Ob River.",Lower risk,False
1384,trimucronatus,Cricetidae,Nearctic Brown Lemming,"Canada, District of Mackenzie, Point Lake.",Check Appendix,False
1385,abbreviatus,Cricetidae,Insular Vole,"USA, Alaska, Bering Sea, Hall Isl.",Data Deficiency,False
1386,agrestis,Cricetidae,Field Vole,"Sweden, Uppsala.",Lower risk,False
1387,arvalis,Cricetidae,Common Vole,"Russia, Leningrad Oblast, Pushkin-town (as restricted by neotype selection by Malygin and Yatsenko, 1986; formerly as ""Germany,"" e.g., Ellerman and Morrison-Scott, 1951).",Lower risk,False
1388,bavaricus,Cricetidae,Bavarian Pine Vole,"Germany, Bavarian Alps, Garmisch-Partenkirchen, 730 m.",Data Deficiency,False
1389,breweri,Cricetidae,Beach Vole,"USA, Massachusetts, Muskeget Isl, off Nantucket.",Lower risk,False
1390,cabrerae,Cricetidae,Cabreras Vole,"Spain, Madrid Prov., Sierra de Guadarrama, near Rascafria.",Lower risk,False
1391,californicus,Cricetidae,California Vole,"USA, California, Santa Clara Co., vicinity of San Francisco Bay, San Francisquito Creek near Palo Alto (as fixed by Kellogg, 1918:5).",Lower risk,False
1392,canicaudus,Cricetidae,Gray-tailed Vole,"USA, Oregon, Polk Co., Willamette Valley, McCoy.",Lower risk,False
1393,chrotorrhinus,Cricetidae,Rock Vole,"USA, New Hampshire, Coos Co., Mt Washington, head of Tuckerman's Ravine, 5300 ft (1615 m).",Lower risk,False
1394,clarkei,Cricetidae,Clarkes Vole,"China, Yunnan, divide between the Kuikiang and Salween Rivers, 11,000 ft (3353 m); 28N.",Lower risk,False
1395,daghestanicus,Cricetidae,Caucasus Pine Vole,"Russia, Daghestan, Caucasus Mtns, Karda.",Lower risk,False
1396,duodecimcostatus,Cricetidae,Mediterranean Pine Vole,"France, Gard, Montpellier.",Lower risk,False
1397,evoronensis,Cricetidae,Evoron Vole,"Russia, Khabarovsk Krai, Lake Evoron (= Zvoron) basin, Devyatka River.",Endangered,False
1398,felteni,Cricetidae,Balkan Pine Vole,"Macedonia, Pelister Mtns, near Trnovo-Magarevo.",Lower risk,False
1399,fortis,Cricetidae,Reed Vole,"China, Nei Mongol, Ordos Desert, Huang Ho Valley, Sujan.",Lower risk,False
1400,gerbei,Cricetidae,Pyreneean Pine Vole,"France, Loire-Inferieure, Dreneuf.",Lower risk,False
1401,gregalis,Cricetidae,Narrow-headed Vole,"Russia, Siberia, E of Chulym River.",Lower risk,False
1402,guatemalensis,Cricetidae,Guatemalan Vole,"Guatemala, Huehuetenango Dept., Todos Santos, 10,000 ft (3048 m).",Lower risk,False
1403,guentheri,Cricetidae,Guenthers Vole,"Turkey, Maras Prov., Taurus Mtns, near Maras (= Marash).",Lower risk,False
1404,ilaeus,Cricetidae,Kazakhstan Vole,"Kazakhstan, Semirechyia, Djarkent, banks of Ussek River.",Lower risk,False
1405,irani,Cricetidae,Iranian Vole,"WC Iran, NW Fars Prov, Shiraz, 5200 ft (see Krytufek and Kefelio&#287;lu, 2002).",Lower risk,False
1406,kikuchii,Cricetidae,Taiwan Vole,"Taiwan, Mt Morrison, 10,000 ft (3048 m).",Vulnerable,False
1407,levis,Cricetidae,East European Vole,"Romania, Prahova, Gageni, in foothills of S Carpathian Mtns north of Bucharesti (after Ellerman and Morrison-Scott, 1951:698).",Lower risk,False
1408,limnophilus,Cricetidae,Lacustrine Vole,"China, Qinghai.",Lower risk,False
1409,longicaudus,Cricetidae,Long-tailed Vole,"USA, South Dakota, Custer Co., Black Hills, Custer, 5500 ft (1676 m).",Lower risk,False
1410,lusitanicus,Cricetidae,Lusitanian Pine Vole,Portugal.,Lower risk,False
1411,maximowiczii,Cricetidae,Maximowiczs Vole,"Russia, Chita Oblast, upper Amur region, mouth of Omutnaya River.",Lower risk,False
1412,mexicanus,Cricetidae,Mexican Vole,"Mxico, Puebla, Volcn de Orizaba.",Endangered,False
1413,middendorffii,Cricetidae,Middendorfs Vole,"Russia, Krasnoyarsk Krai, Taimyr Peninsula.",Lower risk,False
1414,miurus,Cricetidae,Singing Vole,"USA, Alaska, Cook Inlet, Turnagain Arm, head of Bear Creek in mountains near Hope City.",Lower risk,False
1415,mongolicus,Cricetidae,Mongolian Vole,"Russia, Transbaikalia (Chitinskaya Oblast), Omutnaya River, a tributary to the Amur River.",Lower risk,False
1416,montanus,Cricetidae,Montane Vole,"USA, California, Siskiyou Co., headwaters of Sacramento River, near Mt Shasta.",Lower risk,False
1417,montebelli,Cricetidae,Japanese Grass Vole,"Japan, Honshu Isl, Fusiyama.",Lower risk,False
1418,mujanensis,Cricetidae,Muya Valley Vole,"Russia, Buryat, Bauntovski Dist., Vitim River Basin, Muya Valley.",Endangered,False
1419,multiplex,Cricetidae,Alpine Pine Vole,"Switzerland, Ticino Canton, near Lugano.",Lower risk,False
1420,oaxacensis,Cricetidae,Tarabund Vole,"Mxico, Oaxaca, Ixtln Dist., near Vista Hermosa, Tarabund Ranch, 5000 ft (1524 m).",Lower risk,False
1421,ochrogaster,Cricetidae,Prairie Vole,"USA, Indiana, Posey Co., New Harmony (as fixed by Bole and Moulthrop, 1942:157).",Lower risk,False
1422,oeconomus,Cricetidae,Root Vole,"Russia, Siberia, Ishim Valley.",Endangered,False
1423,oregoni,Cricetidae,Creeping Vole,"USA, Oregon, Clatsop Co., Astoria.",Lower risk,False
1424,pennsylvanicus,Cricetidae,Meadow Vole,"USA, Pennsylvania, ""meadows below Philadelphia.""",Lower risk,False
1425,pinetorum,Cricetidae,Woodland Vole,"USA, Georgia, Liberty Co., old LeConte plantation near Riceboro (as interpreted by Bailey, 1900:63).",Lower risk,False
1426,quasiater,Cricetidae,Jalapan Vole,"Mxico, Veracruz, Jalapa.",Lower risk,False
1427,richardsoni,Cricetidae,North American Water Vole,"Canada, Alberta Prov., vicinity of Jasper House (as interpreted by Bailey, 1900:60).",Lower risk,False
1428,sachalinensis,Cricetidae,Sakhalin Island Vole,"Russia, Sakhalin Isl, Poronaysk region, Olen River.",Lower risk,False
1429,savii,Cricetidae,Savis Pine Vole,"Italy, near Pisa.",Lower risk,False
1430,schelkovnikovi,Cricetidae,Schelkovnikovs Pine Vole,"SE Azerbaijan, Talysk Mtns, near village of Dzhi.",Lower risk,False
1431,socialis,Cricetidae,Social Vole,"Kazakhstan, probably Gur'evsk Oblast (Gurev Dist.) between Volga and Ural Rivers (Krytufek and Vohralk, 2001).",Lower risk,False
1432,subterraneus,Cricetidae,Common Pine Vole,"Belgium, Liege, Waremme.",Lower risk,False
1433,tatricus,Cricetidae,Tatra Vole,"Czech Republic, Poprad Dist., Velka Studena Dolina valley, High Tatra Mtns.",Lower risk,False
1434,thomasi,Cricetidae,Thomass Pine Vole,"Montenegro, Vranici.",Lower risk,False
1435,townsendii,Cricetidae,Townsends Vole,"USA, Oregon, Multnomah Co., Wappatoo (Sauvie) Isl, lower Columbia River near mouth of Willamette River (as located by Bailey, 1900:46).",Lower risk,False
1436,transcaspicus,Cricetidae,Middle East Vole,"Turkmenistan, Kopet Dag Mtns, Chuli Valley, near Ashkhabad.",Lower risk,False
1437,umbrosus,Cricetidae,Zempoaltpec Vole,"Mxico, Oaxaca, Mt Zempoaltpec, 8200 ft (2500 m).",Lower risk,False
1438,xanthognathus,Cricetidae,Taiga Vole,"Canada, Manitoba, Hudson Bay.",Lower risk,False
1439,andersoni,Cricetidae,Andersons Red-backed Vole,"Japan, Honshu, Iwate Prefecture, Tsunagi, near Morioka.",Vulnerable,False
1440,californicus,Cricetidae,Western Red-backed Vole,"USA, California, Humboldt Co., Eureka.",Lower risk,False
1441,centralis,Cricetidae,Tien Shan Red-backed Vole,"Kazakhstan, W Tien Shan Mtns, Koksu valley, 9000 ft (2743 m).",Lower risk,False
1442,gapperi,Cricetidae,Southern Red-backed Vole,"Canada, Ontario, between York (= Toronto) and Lake Simcoe.",Lower risk,False
1443,glareolus,Cricetidae,Bank Vole,"Denmark, Lolland Isl.",Lower risk,False
1444,regulus,Cricetidae,Korean Red-backed Vole,"Korea, Mingyong, 110 mi (177 km) SE Seoul.",Lower risk,False
1445,rex,Cricetidae,Hokkaido Red-backed Vole,"Japan, Rishiri Isl (off NW coast of Hokkaido), Mt Rishiri, Kanrosen.",Lower risk,False
1446,rufocanus,Cricetidae,Gray Red-backed Vole,"Sweden, Lappmark.",Lower risk,False
1447,rutilus,Cricetidae,Northern Red-backed Vole,"Russia, Siberia, center of Ob River delta.",Lower risk,False
1448,shanseius,Cricetidae,Shanxi Red-backed Vole,"China, Shanxi, Chao Cheng Shan, ""Mo-er-Shan"" (= Mt Nanyanshan or Mt Guandi Shan), 9296 ft (2789 m); 3754&#8242;N, 11130&#8242;E (as fixed by Kaneko, 1992<i>c</i>:95).",Lower risk,False
1449,smithii,Cricetidae,Smiths Red-backed Vole,"Japan, Honshu, Hyogo Prefecture, Kobe.",Lower risk,False
1450,schisticolor,Cricetidae,Wood Lemming,"Norway, Gulbrandsdal, N end of Mjosen, near Lillehammer.",Threatened,False
1451,irene,Cricetidae,Irenes Mountain Vole,"China, Sichuan, Tatsienlu.",Lower risk,False
1452,juldaschi,Cricetidae,Juniper Mountain Vole,"NE Tajikistan, Pamir Mtns, Kara-Kul Lake basin, near Aksu.",Lower risk,False
1453,sikimensis,Cricetidae,Sikkim Mountain Vole,"India, Sikkim.",Lower risk,False
1454,alleni,Cricetidae,Round-tailed Muskrat,"USA, Florida, Brevard Co., Georgiana.",Lower risk,False
1455,zibethicus,Cricetidae,Common Muskrat,E Canada.,Lower risk,False
1456,leucurus,Cricetidae,Blyths Mountain Vole,"NW India, Ladakh, near Lake Chomoriri (= Tsomoriri).",Lower risk,False
1457,intermedius,Cricetidae,Western Heather Vole,"Canada, British Columbia Prov., 20 mi (32 km) NNW Kamloops.",Lower risk,False
1458,ungava,Cricetidae,Eastern Heather Vole,"Canada, Quebec Prov., Fort Chimo, near Ungava Bay.",Lower risk,False
1459,bedfordi,Cricetidae,Duke of Bedfords Vole,"China, S Gansu, 60 mi (97 km) SE Minchow.",Lower risk,False
1460,schaposchnikowi,Cricetidae,Long-clawed Mole Vole,"Georgia (Gruzinskaya), Caucasus Mtns, Gudaur, S of Krestovyi Pass, 6500 ft (as given by Ognev, 1963<i>b</i>).",Lower risk,False
1461,borealis,Cricetidae,Northern Bog Lemming,"Canada, District of Mackenzie, Great Bear Lake, Fort Franklin.",Lower risk,False
1462,cooperi,Cricetidae,Southern Bog Lemming,"USA, New Hampshire, Carroll Co., Jackson (as fixed by Bole and Moulthrop, 1942:146).",Lower risk,False
1463,millicens,Cricetidae,Sichuan Vole,"China, NW Sichuan, Weichoe, Si-ho River Valley, 12,000 ft (3658 m).",Lower risk,False
1464,musseri,Cricetidae,Maries Vole,"China, W Sichuan, Qionglai Shan, 30 mi (48 km) W Wenquan, 9000 ft (2743 m).",Lower risk,False
1465,curtatus,Cricetidae,Mongolian Hamster,"China, W Nei Mongol, Iren Dabasu (= Ehrlien).",Lower risk,False
1466,eversmanni,Cricetidae,Eversmanns Hamster,"Russia, Orenburg Oblast, near Orenburg.",Lower risk,False
1467,canus,Cricetidae,Gansu Hamster,"China, S Gansu Prov., Jon (=Choni or Cho-Ni), ""around 2500 m"" (Corbet and Hill, 1992:393).",Lower risk,False
1468,alticola,Cricetidae,Ladak Dwarf Hamster,"India, Ladak (Kashmir), Shushul, 13,500 ft (4115 m).",Lower risk,False
1469,barabensis,Cricetidae,Striped Dwarf Hamster,"Russia, W Siberia, banks of Ob River, Kasmalinskii Bor (village in Altai Mtns; <i>fide</i> Pavlinov, 2002, in litt).",Lower risk,False
1470,kamensis,Cricetidae,Tibetan Dwarf Hamster,"China, NE Tibet (Xizang Prov.), Mekong Dist., Moktschjun River.",Lower risk,False
1471,longicaudatus,Cricetidae,Long-tailed Dwarf Hamster,"China, N Shanxi (Shansi), near Saratsi.",Lower risk,False
1472,migratorius,Cricetidae,Gray Dwarf Hamster,"W Kazakhstan, lower Ural River.",Lower risk,False
1473,sokolovi,Cricetidae,Sokolovs Dwarf Hamster,"W Mongolia, Bayan Hongor, SW shore Orog Nuur Lake (<i>fide</i> Pavlinov, 2002, in litt).",Lower risk,False
1474,cricetus,Cricetidae,Common Hamster,Germany.,Lower risk,False
1475,auratus,Cricetidae,Golden Hamster,"Syria, Aleppo.",Endangered,False
1476,brandti,Cricetidae,Brandts Hamster,"Georgia, near Tbilisi.",Lower risk,False
1477,newtoni,Cricetidae,Romanian Hamster,"Bulgaria, Kolarovgrad (= Schumla or Shumen).",Vulnerable,False
1478,raddei,Cricetidae,Ciscaucasian Hamster,"Russia, N Caucasus, Dagestan, Samur River.",Lower risk,False
1479,campbelli,Cricetidae,Campbells Desert Hamster,"NE Mongolia, Shaborte (see Pavlinov and Rossolimo, 1987, for additional comments).",Lower risk,False
1480,roborovskii,Cricetidae,Roborovskis Desert Hamster,"China, Nan Shan Mtns, upper part of Shargol Dzhin River.",Lower risk,False
1481,sungorus,Cricetidae,Striped Desert Hamster,"E Kazakhstan, 100 km west of Semipalatinsk, near Grachevsk.",Lower risk,False
1482,triton,Cricetidae,Greater Long-tailed Hamster,"China, N Shantung.",Lower risk,False
1483,imhausi,Cricetidae,Maned Rat,"Somalia (""Probably from African coast opposite Aden, where it was purchased,"" G. M. Allen, 1939:315; also see Thomas, 1910<i>c</i>:222).",Lower risk,False
1484,musculus,Cricetidae,Southern Pygmy Mouse,"Mxico, Colima, Colima.",Lower risk,False
1485,taylori,Cricetidae,Northern Pygmy Mouse,"USA, Texas, Duval Co., San Diego.",Lower risk,False
1486,chinanteco,Cricetidae,Chinanteco Deermouse,"Mxico, Oaxaca, north slope Cerro Peln, 31.6 km S Vista Hermosa, 2650 m.",Lower risk,False
1487,lepturus,Cricetidae,Zempoaltepec Deermouse,"Mxico, Oaxaca, Cerro Zempoaltpec, 8200 ft (2500 m).",Lower risk,False
1488,lophurus,Cricetidae,Crested-tailed Deermouse,"Guatemala, Huehuetenango Dept., Todos Santos, 10,000 ft (3048 m).",Lower risk,False
1489,simulatus,Cricetidae,Jico Deermouse,"Mxico, Veracruz, near Jico, 6000 ft (1830 m).",Endangered,False
1490,alleni,Cricetidae,Allens Woodrat,"Mxico, Colima, Manzanillo.",Lower risk,False
1491,flavidus,Cricetidae,Yellow Deermouse,"Panam, Chiriqu Prov., Volcn de Chiriqu, Boquete, 4000 ft (1219 m).",Lower risk,False
1492,pirrensis,Cricetidae,Mt Pirri Deermouse,"Panam, Darin Prov., Mt Pirri, headwaters of Ro Limn, 4500 ft (1372 m).",Lower risk,False
1493,cryophilus,Cricetidae,Oaxacan Big-toothed Deermouse,"Mxico, Oaxaca, Distrito de Ixtln, 13 mi (21 km) NE Llano de las Flores, south slope Cerro Peln, 9200 ft (2804 m).",Lower risk,False
1494,nelsoni,Cricetidae,Nelsons Big-toothed Deermouse,"Mxico, Veracruz, Jico, 6000 ft (1830 m).",Lower risk,False
1495,thomasi,Cricetidae,Thomas Big-toothed Deermouse,"Mxico, Guerrero, mountains near Chilpancingo, 9700 ft (2957 m).",Lower risk,False
1496,goldmani,Cricetidae,Goldmans Diminutive Woodrat,"Mxico, Michoacn, Mt Tanctaro.",Lower risk,False
1497,neotomodon,Cricetidae,Western Diminutive Woodrat,"Mxico, Zacatecas, mountains near Plateado, 8200 ft (2500 m).",Lower risk,False
1498,albigula,Cricetidae,White-throated Woodrat,"USA, Arizona, Pima Co., vicinity of Fort Lowell, near Tucson.",Lower risk,False
1499,angustapalata,Cricetidae,Tamaulipan Woodrat,"Mxico, Tamaulipas, 70 km (by highway) S Ciudad Victoria and 6 km W Panamerican Highway, El Carrizo.",Lower risk,False
1500,anthonyi,Cricetidae,Anthonys Woodrat,"Mxico, Baja California Norte, Todos Santos Isl.",Endangered,False
1501,bryanti,Cricetidae,Bryants Woodrat,"Mxico, Baja California Norte, Cedros Isl.",Endangered,False
1502,bunkeri,Cricetidae,Coronados Island Woodrat,"Mxico, Baja California Sur, Coronados Isl; 2606'N, 11118'W.",Endangered,False
1503,chrysomelas,Cricetidae,Nicaraguan Woodrat,"Nicaragua, Matagalpa Dept., Matagalpa.",Lower risk,False
1504,cinerea,Cricetidae,Bushy-tailed Woodrat,"USA, Montana, Cascade Co., Great Falls.",Lower risk,False
1505,devia,Cricetidae,Arizona Woodrat,"USA, Arizona, Painted Desert, Tanner Tank, 5200 ft (1585 m).",Lower risk,False
1506,floridana,Cricetidae,Eastern Woodrat,"USA, Florida, Duval Co., St. Johns River, near Jacksonville.",Lower risk,False
1507,fuscipes,Cricetidae,Dusky-footed Woodrat,"USA, California, Sonoma Co., Petaluma.",Lower risk,False
1508,goldmani,Cricetidae,Goldmans Woodrat,"Mxico, Coahuila, Saltillo, 5000 ft (1524 m).",Lower risk,False
1509,lepida,Cricetidae,Desert Woodrat,"USA, ""Simpsons Route"" between Camp Floyd (= Fairfield), Utah and Carson City, Nevada (as restricted by Goldman, 1932:61).",Lower risk,False
1510,macrotis,Cricetidae,Big-eared Woodrat,"USA, California, San Diego Co., San Diego.",Data Deficiency,False
1511,magister,Cricetidae,Allegheny Woodrat,"USA, Pennsylvania, cave near Carlisle (Cumberland Co.) and Harrisburg (Dauphin Co.).",Lower risk,False
1512,martinensis,Cricetidae,San Martn Woodrat,"Mxico, Baja California Norte, San Martn Isl.",Endangered,False
1513,mexicana,Cricetidae,Mexican Woodrat,"Mxico, Chihuahua, mountains near Chihuahua.",Lower risk,False
1514,micropus,Cricetidae,Southern Plains Woodrat,"Mxico, Tamaulipas, Charco Escondido.",Lower risk,False
1515,nelsoni,Cricetidae,Nelsons Woodrat,"Mxico, Veracruz, Perote, 7800 ft (2377 m).",Endangered,False
1516,palatina,Cricetidae,Bolaos Woodrat,"Mxico, Jalisco, Bolaos, 2800 ft (853 m).",Lower risk,False
1517,phenax,Cricetidae,Sonoran Woodrat,"Mxico, Sonora, Ro Mayo, Camoa.",Lower risk,False
1518,stephensi,Cricetidae,Stephens Woodrat,"USA, Arizona, Mohave Co., Hualapai Mtns, 6300 ft (1920 m).",Lower risk,False
1519,alstoni,Cricetidae,Volcano Deermouse,"Mxico, Michoacn, Nahuatzen, 8500 ft (2591 m).",Lower risk,False
1520,nuttalli,Cricetidae,Golden Mouse,"USA, Virginia, Norfolk Co., Norfolk.",Lower risk,False
1521,arenicola,Cricetidae,Chihuahuan Grasshopper Mouse,"USA, Texas, El Paso Co., 6 mi (10 km) above El Paso.",Lower risk,False
1522,leucogaster,Cricetidae,Northern Grasshopper Mouse,"USA, North Dakota, Oliver Co., Mandan village near Fort Clark.",Lower risk,False
1523,torridus,Cricetidae,Southern Grasshopper Mouse,"USA, Arizona, Graham Co., Camp Grant.",Lower risk,False
1524,banderanus,Cricetidae,Osgoods Deermouse,"Mxico, Nayarit, Valle de Banderas.",Lower risk,False
1525,attwateri,Cricetidae,Texas Deermouse,"USA, Texas, Kerr Co., Turtle Creek.",Lower risk,False
1526,aztecus,Cricetidae,Aztec Deermouse,"Mxico, Veracruz, vicinity of Mirador, about 3800 ft ([~1158 m] as designated by Osgood, 1909:156).",Lower risk,False
1527,boylii,Cricetidae,Brush Deermouse,"USA, California, Eldorado Co., Middle Fork of American River, near Auburn.",Lower risk,False
1528,bullatus,Cricetidae,Perote Deermouse,"Mxico, Veracruz, Perote.",Endangered,False
1529,californicus,Cricetidae,California Deermouse,"USA, California, Monterey Co., Monterey.",Lower risk,False
1530,caniceps,Cricetidae,Monserrat Island Deermouse,"Mxico, Baja California Sur, Monserrat Isl; 2538'N, 11102'W.",Vulnerable,False
1531,crinitus,Cricetidae,Canyon Deermouse,"USA, Idaho, Jerome Co., Shoshone Falls, north side of Snake River.",Lower risk,False
1532,dickeyi,Cricetidae,Dickeys Deermouse,"Mxico, Baja California Sur, Tortuga Isl; 2721'N, 11154'W.",Endangered,False
1533,difficilis,Cricetidae,Southern Rock Deermouse,"Mxico, Zacatecas, Sierra de Valparaso.",Lower risk,False
1534,eremicus,Cricetidae,Cactus Deermouse,"USA, California, Imperial Co., Old Fort Yuma, Colorado River opposite Yuma, Arizona.",Lower risk,False
