ScientificName,Status,Family,Species,CommonName_new
Gazella subgutturosa marica,Endangered,Gazella,subgutturosa marica, Sand Gazelle
Gazella dorcas saudiya,Endangered,Gazella,dorcas saudiya, Saudi Arabian Gazelle
Gazella leptoceros,Endangered,Gazella,leptoceros, Slender-Horned Gazelle
Hylobates spp. (including Nomascus ),Endangered,Hylobates,spp. (including Nomascus ),Gibbons
Nemorhedus goral,Endangered,Nemorhedus,goral,Goral
Gorilla gorilla,Endangered,Gorilla,gorilla,Gorilla
Caprolagus hispidus,Endangered,Caprolagus,hispidus, Hispid Hare
Alcelaphus buselaphus swaynei,Endangered,Alcelaphus,buselaphus swaynei, Swayne'S Hartebeest
Alcelaphus buselaphus tora,Endangered,Alcelaphus,buselaphus tora, Tora Hartebeest
Sus salvanius,Endangered,Sus,salvanius, Pygmy Hog
Equus przewalskii,Endangered,Equus,przewalskii, Przewalski'S Horse
Hippocamelus antisensis,Endangered,Hippocamelus,antisensis, North Andean Huemul
Hippocamelus bisulcus,Endangered,Hippocamelus,bisulcus, South Andean Huemul
Capromys angelcabrerai,Endangered,Capromys,angelcabrerai, Cabrera'S Hutia
Capromys nana,Endangered,Capromys,nana, Dwarf Hutia
Capromys auritus,Endangered,Capromys,auritus, Large-Eared Hutia
Capromys sanfelipensis,Endangered,Capromys,sanfelipensis, Little Earth Hutia
Hyaena hyaena barbara,Endangered,Hyaena,hyaena barbara, Barbary Hyena
Parahyaena (=Hyaena) brunnea,Endangered,Parahyaena,(=Hyaena) brunnea, Brown Hyena
Capra pyrenaica pyrenaica,Endangered,Capra,pyrenaica pyrenaica, Pyrenean Ibex
Capra walie,Endangered,Capra,walie, Walia Ibex
Aepyceros melampus petersi,Endangered,Aepyceros,melampus petersi, Black-Faced Impala
Indri indri(=entire genus),Endangered,Indri,indri(=entire genus),Indri
Panthera onca,Endangered,Panthera,onca,Jaguar
Herpailurus (=Felis) yagouaroundi fossata,Endangered,Herpailurus,(=Felis) yagouaroundi fossata, Guatemalan Jaguarundi
Herpailurus (=Felis) yagouaroundi cacomitli,Endangered,Herpailurus,(=Felis) yagouaroundi cacomitli, Gulf Coast Jaguarundi
Herpailurus (=Felis) yagouaroundi panamensis,Endangered,Herpailurus,(=Felis) yagouaroundi panamensis, Panamanian Jaguarundi
Herpailurus (=Felis) yagouaroundi tolteca,Endangered,Herpailurus,(=Felis) yagouaroundi tolteca, Sinaloan Jaguarundi
Dipodomys nitratoides exilis,Endangered,Dipodomys,nitratoides exilis, Fresno Kangaroo Rat
Dipodomys ingens,Endangered,Dipodomys,ingens, Giant Kangaroo Rat
Dipodomys heermanni morroensis,Endangered,Dipodomys,heermanni morroensis, Morro Bay Kangaroo Rat
Dipodomys merriami parvus,Endangered,Dipodomys,merriami parvus, San Bernardino Merriam'S Kangaroo Rat
Dipodomys stephensi (incl. D. cascus),Endangered,Dipodomys,stephensi (incl. D. cascus), Stephens' Kangaroo Rat
Dipodomys nitratoides nitratoides,Endangered,Dipodomys,nitratoides nitratoides, Tipton Kangaroo Rat
Macropus giganteus tasmaniensis,Endangered,Macropus,giganteus tasmaniensis, Tasmanian Forester Kangaroo
Phascolarctos cinereus,Threatened,Phascolarctos,cinereus,Koala
Bos sauveli,Endangered,Bos,sauveli,Kouprey
Trachypithecus (=Presbytis) pileatus,Endangered,Trachypithecus,(=Presbytis) pileatus, Capped Langur
Pygathrix nemaeus,Endangered,Pygathrix,nemaeus, Douc Langur
Trachypithecus (=Presbytis) francoisi,Endangered,Trachypithecus,(=Presbytis) francoisi, Francois' Langur
Trachypithecus (=Presbytis) geei,Endangered,Trachypithecus,(=Presbytis) geei, Golden Langur
Semnopithecus (=Presbytis) entellus,Endangered,Semnopithecus,(=Presbytis) entellus, Gray (=Entellus) Langur
Presbytis potenziani,Threatened,Presbytis,potenziani, Long-Tailed Langur
Nasalis concolor,Endangered,Nasalis,concolor, Pagi Island Langur
Presbytis senex,Threatened,Presbytis,senex, Purple-Faced Langur
Kobus leche,Threatened,Kobus,leche, Red Lechwe
"Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia )",Endangered,Lemuridae,"(incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia )",Lemurs
Panthera pardus,Endangered,Panthera,pardus,Leopard
Panthera pardus,Threatened,Panthera,pardus,Leopard [Southern Africa populations]
Neofelis nebulosa,Endangered,Neofelis,nebulosa, Clouded Leopard
Uncia (=Panthera) uncia,Endangered,Uncia,(=Panthera) uncia, Snow Leopard
Prionodon pardicolor,Endangered,Prionodon,pardicolor, Spotted Linsang
Panthera leo leo,Endangered,Panthera,leo leo,Lion
Panthera leo melanochaita,Threatened,Panthera,leo melanochaita,Lion
Nycticebus pygmaeus,Threatened,Nycticebus,pygmaeus, Lesser Slow Loris
Lynx canadensis,Threatened,Lynx,canadensis, Canada [Contiguous U.S. Dps] Lynx
Felis pardina,Endangered,Felis,pardina, Spanish Lynx
Macaca cyclopis,Threatened,Macaca,cyclopis, Formosan Rock Macaque
Macaca fuscata,Threatened,Macaca,fuscata, Japanese Macaque
Macaca silenus,Endangered,Macaca,silenus, Lion-Tailed Macaque
Macaca arctoides,Threatened,Macaca,arctoides, Stump-Tailed Macaque
Macaca sinica,Threatened,Macaca,sinica, Toque Macaque
Trichechus inunguis,Endangered,Trichechus,inunguis, Amazonian Manatee
Trichechus senegalensis,Threatened,Trichechus,senegalensis, West African Manatee
Trichechus manatus,Threatened,Trichechus,manatus, West Indian Manatee
Mandrillus (=Papio) sphinx,Endangered,Mandrillus,(=Papio) sphinx,Mandrill
Cercocebus galeritus galeritus,Endangered,Cercocebus,galeritus galeritus, Tana River Mangabey
Cercocebus torquatus,Endangered,Cercocebus,torquatus, White-Collared Mangabey
Leopardus (=Felis) wiedii,Endangered,Leopardus,(=Felis) wiedii,Margay
Capra falconeri (=aegagrus) chiltanensis,Endangered,Capra,falconeri (=aegagrus) chiltanensis, Chiltan (=Wild Goat) Markhor
Capra falconeri megaceros,Threatened,Capra,falconeri megaceros, Straight-Horned Markhor
Callithrix flaviceps,Endangered,Callithrix,flaviceps, Buff-Headed Marmoset
Saguinus oedipus,Endangered,Saguinus,oedipus, Cotton-Top Marmoset
Callimico goeldii,Endangered,Callimico,goeldii, Goeldi'S Marmoset
Callithrix aurita (=jacchus a.),Endangered,Callithrix,aurita (=jacchus a.), White-Eared (=Buffy Tufted-Ear) Marmoset
Marmota vancouverensis,Endangered,Marmota,vancouverensis, Vancouver Island Marmot
Antechinomys laniger,Endangered,Antechinomys,laniger, Eastern Jerboa Marsupial
Sminthopsis psammophila,Endangered,Sminthopsis,psammophila, Large Desert Marsupial-Mouse
Sminthopsis longicaudata,Endangered,Sminthopsis,longicaudata, Long-Tailed Marsupial-Mouse
Martes flavigula chrysospila,Endangered,Martes,flavigula chrysospila, Formosan Yellow-Throated Marten
Colobus satanas,Endangered,Colobus,satanas, Black Colobus Monkey
Alouatta pigra,Threatened,Alouatta,pigra, Black Howler Monkey
Cercopithecus diana,Endangered,Cercopithecus,diana, Diana Monkey
Rhinopithecus brelichi,Endangered,Rhinopithecus,brelichi, Guizhou Snub-Nosed Monkey
Cercopithecus lhoesti,Endangered,Cercopithecus,lhoesti, L'Hoest'S Monkey
Alouatta palliata,Endangered,Alouatta,palliata, Mantled Howler Monkey
Procolobus (=Colobus) preussi (=badius p.),Endangered,Procolobus,(=Colobus) preussi (=badius p.), Preuss' Red Colobus Monkey
Nasalis larvatus,Endangered,Nasalis,larvatus, Proboscis Monkey
Saimiri oerstedii,Endangered,Saimiri,oerstedii, Red-Backed Squirrel Monkey
Cercopithecus erythrogaster,Endangered,Cercopithecus,erythrogaster, Red-Bellied Monkey
Cercopithecus erythrotis,Endangered,Cercopithecus,erythrotis, Red-Eared Nose-Spotted Monkey
Rhinopithecus roxellana,Endangered,Rhinopithecus,roxellana, Sichuan Snub-Nosed Monkey
Ateles geoffroyi frontatus,Endangered,Ateles,geoffroyi frontatus, Spider Monkey
Ateles geoffroyl panamensis,Endangered,Ateles,geoffroyl panamensis, Spider Monkey
Procolobus (=Colobus) rufomitratus (=badius r.),Endangered,Procolobus,(=Colobus) rufomitratus (=badius r.), Tana River Red Colobus Monkey
Rhinopithecus avunculus,Endangered,Rhinopithecus,avunculus, Tonkin Snub-Nosed Monkey
Brachyteles arachnoides,Endangered,Brachyteles,arachnoides, Woolly Spider Monkey
Lagothrix flavicauda,Endangered,Lagothrix,flavicauda, Yellow-Tailed Woolly Monkey
Rhinopithecus bieti,Endangered,Rhinopithecus,bieti, Yunnan Snub-Nosed Monkey
Procolobus (=Colobus) pennantii (=kirki) kirki,Endangered,Procolobus,(=Colobus) pennantii (=kirki) kirki, Zanzibar Red Colobus Monkey
Aplodontia rufa nigra,Endangered,Aplodontia,rufa nigra, Point Arena Mountain Beaver
Peromyscus polionotus ammobates,Endangered,Peromyscus,polionotus ammobates, Alabama Beach Mouse
Peromyscus polionotus phasma,Endangered,Peromyscus,polionotus phasma, Anastasia Island Beach Mouse
Notomys aquilo,Endangered,Notomys,aquilo, Australian Native Mouse
Zyzomys pedunculatus,Endangered,Zyzomys,pedunculatus, Australian Native Mouse
Peromyscus polionotus allophrys,Endangered,Peromyscus,polionotus allophrys, Choctawhatchee Beach Mouse
Pseudomys fieldi,Endangered,Pseudomys,fieldi, Field'S Mouse
Pseudomys gouldii,Endangered,Pseudomys,gouldii, Gould'S Mouse
Peromyscus gossypinus allapaticola,Endangered,Peromyscus,gossypinus allapaticola, Key Largo Cotton Mouse
Pseudomys novaehollandiae,Endangered,Pseudomys,novaehollandiae, New Holland Mouse
Zapus hudsonius luteus,Endangered,Zapus,hudsonius luteus, New Mexico Meadow Jumping Mouse
Perognathus longimembris pacificus,Endangered,Perognathus,longimembris pacificus, Pacific Pocket Mouse
Peromyscus polionotus trissyllepsis,Endangered,Peromyscus,polionotus trissyllepsis, Perdido Key Beach Mouse
Zapus hudsonius preblei,Threatened,Zapus,hudsonius preblei, Preble'S Meadow Jumping Mouse
Reithrodontomys raviventris,Endangered,Reithrodontomys,raviventris, Salt Marsh Harvest Mouse
Pseudomys praeconis,Endangered,Pseudomys,praeconis, Shark Bay Mouse
Pseudomys shortridgei,Endangered,Pseudomys,shortridgei, Shortridge'S Mouse
Pseudomys fumeus,Endangered,Pseudomys,fumeus, Smoky Mouse
Peromyscus polionotus niveiventris,Threatened,Peromyscus,polionotus niveiventris, Southeastern Beach Mouse
Peromyscus polionotus peninsularis,Endangered,Peromyscus,polionotus peninsularis, St. Andrew Beach Mouse
Pseudomys occidentalis,Endangered,Pseudomys,occidentalis, Western Mouse
Muntiacus feae,Endangered,Muntiacus,feae, Fea'S Muntjac
Dasyurus viverrinus,Endangered,Dasyurus,viverrinus, Eastern Native-Cat
Myrmecobius fasciatus,Endangered,Myrmecobius,fasciatus,Numbat
Leopardus (=Felis) pardalis,Endangered,Leopardus,(=Felis) pardalis,Ocelot
Pongo pygmaeus,Endangered,Pongo,pygmaeus,Orangutan
Oryx leucoryx,Endangered,Oryx,leucoryx, Arabian Oryx
Oryx dammah,Endangered,Oryx,dammah, Scimitar-Horned Oryx
Aonyx congicus (=congica) microdon,Endangered,Aonyx,congicus (=congica) microdon, Cameroon Clawless Otter
Pteronura brasiliensis,Endangered,Pteronura,brasiliensis, Giant Otter
Lontra (=Lutra) longicaudis (incl. platensis ),Endangered,Lontra,(=Lutra) longicaudis (incl. platensis ), Long-Tailed Otter
Lontra (=Lutra) felina,Endangered,Lontra,(=Lutra) felina, Marine Otter
Enhydra lutris kenyoni,Threatened,Enhydra,lutris kenyoni, Northern Sea [Southwest Alaska Dps] Otter
Lontra (=Lutra) provocax,Endangered,Lontra,(=Lutra) provocax, Southern River Otter
Enhydra lutris nereis,Threatened,Enhydra,lutris nereis, Southern Sea Otter
Ailuropoda melanoleuca,Endangered,Ailuropoda,melanoleuca, Giant Panda
Manis temmincki,Endangered,Manis,temmincki, Temnick'S Ground Pangolin
Puma (=Felis) concolor coryi,Endangered,Puma,(=Felis) concolor coryi, Florida Panther
Planigale ingrami subtilissima,Endangered,Planigale,ingrami subtilissima, Little Planigale
Planigale tenuirostris,Endangered,Planigale,tenuirostris, Southern Planigale
Thomomys mazama pugetensis,Threatened,Thomomys,mazama pugetensis, Olympia Pocket Gopher
Thomomys mazama glacialis,Threatened,Thomomys,mazama glacialis, Roy Prairie Pocket Gopher
Thomomys mazama tumuli,Threatened,Thomomys,mazama tumuli, Tenino Pocket Gopher
Thomomys mazama yelmensis,Threatened,Thomomys,mazama yelmensis, Yelm Pocket Gopher
Chaetomys subspinosus,Endangered,Chaetomys,subspinosus, Thin-Spined Porcupine
Phocoena sinus,Endangered,Phocoena,sinus," Gulf Of California Harbor (Cochito, Vaquita) Porpoise"
Gymnobelideus leadbeateri,Endangered,Gymnobelideus,leadbeateri, Leadbeater'S Possum
Burramys parvus,Endangered,Burramys,parvus, Mountain Pygmy Possum
Wyulda squamicaudata,Endangered,Wyulda,squamicaudata, Scaly-Tailed Possum
Cynomys mexicanus,Endangered,Cynomys,mexicanus, Mexican Prairie Dog
