"Species","CommonName_new","Status","Locality"
"nigripes"," Black-Footed Ferret","XN","Paraguay, Paraguar Dept., Ybycui National Park, 85 km SSE Atyra (as restricted by neotype designation by Myers and Carleton, 1981:14)."
"hispidus"," Hispid Hare","Endangered","Brazil, Bahia State, Bahia."
"rufus"," Red Wolf","Endangered","Argentina, Entre Ros Prov., 32.5S latitude along lower Ro Paran (as restricted by Hershkovitz, 1994:36, but see comments)."
"rufus"," Red Wolf","XN","Argentina, Entre Ros Prov., 32.5S latitude along lower Ro Paran (as restricted by Hershkovitz, 1994:36, but see comments)."
"auritus"," Large-Eared Hutia","Endangered","Argentina, Buenos Aires Prov., pampas south of Buenos Aires, south bank of the Ro de la Plata (as restricted by Hershkovitz, 1959<i>a</i>:349)."
"mexicanus"," Mexican Prairie Dog","Endangered","Mxico, Oaxaca State, Miahuatln Dist., San Jos Lachiguir, 4000 ft (1219 m)."
"hispidus"," Hispid Hare","Endangered","USA, Florida, St. Johns River."
"cinereus","Koala","Threatened","Per, Cajamarca Dept., Cutervo, 9200 ft (2804 m)."
"laniger"," Eastern Jerboa Marsupial","Endangered","Colombia, Cundinamarca Dept., Bogot Region, 8750 ft (2667 m)."
"subspinosus"," Thin-Spined Porcupine","Endangered","South Africa, Western Cape Province, Cape of Good Hope."
"przewalskii"," Przewalski'S Horse","Endangered","China, Xinjiang, Lob Nor."
"campestris"," Desert (=Plain) Rat-Kangaroo","Endangered","Algeria, Constantine Province, Philipeville."
"robustus"," Gray [Western North Pacific Dps] Whale","Endangered","Sudan, Ambukol."
"mindorensis","Tamaraw","Endangered","Philippines, Mindoro Isl, Halcon Range, Ilong Peak, 4500 ft (1370 m)."
"musculus"," Blue Whale","Endangered","Philippines, Luzon Isl, Benguet, Baguio, Camp John Hay, 5000 ft (1524 m)."
"mindorensis","Tamaraw","Endangered","Philipines, Mindoro Isl, 3 mi (5 km) SSE of San Jose (Central), 200 ft (61 m)."
"australis"," Southern Right Whale","Endangered","Philippines, Surigao del Norte Province, Dinagat Isl, Loreto Municipality, Balitbiton."
"leucura"," Lesser Rabbit Bandicoot","Endangered","Indonesia, Sulawesi, NE tip of N peninsula, Manado (= Menado), 01E30'N/124E50'E, coastal plain near sea level (as restricted by Tate, 1936:586)."
"parvus"," Mountain Pygmy Possum","Endangered","Gabon, Belinga, 800 m."
